value_id,entity_id,attribute_id,store_id,value
1,1,75,0,320000000
2,2,75,0,285000000
3,3,75,0,198000000
4,4,75,0,84000000
5,5,75,0,12500000
6,6,75,0,22500000
7,7,75,0,14800000
8,8,75,0,6500000
9,9,75,0,69000000
10,10,75,0,98000000
11,11,75,0,34000000
12,12,75,0,12000000
13,13,75,0,76000000
14,14,75,0,64000000
15,15,75,0,18000000
16,16,75,0,18500000
17,17,75,0,26000000
18,18,75,0,18000000
19,19,75,0,22500000
20,20,75,0,8500000
21,21,75,0,35000000
22,22,75,0,5500000
23,23,75,0,12500000
24,24,75,0,4200000
25,25,75,0,6000000
26,26,75,0,8500000
27,27,75,0,7200000
28,28,75,0,10500000
29,29,75,0,14500000
30,30,75,0,11800000
31,31,75,0,650000000
32,32,75,0,1400000000
33,33,75,0,895000000
34,34,75,0,1150000000
35,35,75,0,280000000
36,36,75,0,415000000
37,37,75,0,248000000
38,38,75,0,105000000
39,39,75,0,92000000
40,40,75,0,525000000
41,41,75,0,68000000
42,42,75,0,80000000
43,43,75,0,125000000
44,44,75,0,105000000
45,45,75,0,225000000
46,46,75,0,28500000
47,47,75,0,29500000
48,48,75,0,102000000
49,49,75,0,22500000
50,50,75,0,35000000
51,51,75,0,54000000
52,52,75,0,23000000
53,53,75,0,72000000
54,54,75,0,2300000
55,55,75,0,6000000
56,56,75,0,6500000
57,57,75,0,5200000
58,58,75,0,4200000
59,59,75,0,6500000
60,60,75,0,9000000
