category_id,product_id,position
6,1,1
6,2,2
6,3,3
6,4,4
9,5,5
11,6,6
9,7,7
9,8,8
6,9,9
6,10,10
8,11,11
9,12,12
6,13,13
6,14,14
7,15,15
7,16,16
9,17,17
9,18,18
6,19,19
8,20,20
7,21,21
7,22,22
8,23,23
14,24,24
6,25,25
6,26,26
9,27,27
7,28,28
7,29,29
7,30,30
10,31,31
10,32,32
10,33,33
10,34,34
10,35,35
10,36,36
10,37,37
11,38,38
11,39,39
10,40,40
11,41,41
11,42,42
11,43,43
11,44,44
12,45,45
12,46,46
12,47,47
12,48,48
12,49,49
13,50,50
13,51,51
13,52,52
13,53,53
14,54,54
14,55,55
14,56,56
14,57,57
15,58,58
15,59,59
15,60,60
